carrier_name,logo,Service,contract_number,ports,contract_type,container_type
"AMERICAN PRESIDENT LINES, APL, APLU",/resource/,ASUS1,NA100,"Jebel Ali, AE, AEJEA",,20G1
"CMA-CGM, CMA, CMDU",/resource/,UPAS5,NA100,"Khor al Fakkan, AE, AEKLF",,20GP
"CHENG LIE NAVIGATION, CNC, 11DX",/resource/,UPAS2,NA100,"Port Rashid, AE, AEPRA",,22G0
"COSCO CONTAINER LINES, COS, COSU",/resource/,ASUS1,NA100,"Luanda, AO, AOLAD",,22G1
"EMIRATES SHIPPING LINE, ESL, ESPU",/resource/,UPAS1,NA100,"Adelaide, AU, AUADL",,22GP
"EVERGREEN LINE, EVG, EGLV",/resource/,UPAS,NA100,"Alice Springs, AU, AUASP",,42G0
"GOLD STAR LINE, GSL, GSLU",/resource/,ASUS2,NA100,"Botany Bay, AU, AUBTB",,42G1
"HAPAG-LLOYD CONTAINER LINE, HLL, HLCU",/resource/,ASUS5,NA100,"Brisbane, AU, AUBNE",,42GP
"HYUNDAI MERCHANT MARINE, HMM, HDMU",/resource/,UPAS2,NA100,"Cairns, AU, AUCNS",,45G0
"HAMBURG SUD, HSD, SUDU",/resource/,ASUS3,NA100,"Melbourne, AU, AUMEL",,45G1
"KOREA MARINE TRANSPORT COMPANY, KMTC, KMTU",/resource/,TBD,ABC433,"Sydney, AU, AUSYD",,45GP
"MATSON NAVIGATION, MAT, MATS",/resource/,FP2,CH24521,"Chittagong, BD, BDCGP",,4CGP
"SEALAND - A MAERSK COMPANY, MCC, MCCQ",/resource/,FP2,CH24520,"Antwerp, BE, BEANR",,D2
"MEDITERRANEAN SHIPPING COMPANY, MSC, MSCU",/resource/,PN3,CH24520,"Bahrain, BH, BHBAH",,D4
"MAERSK LINE, MSK, MAEU",/resource/,EC4,CH24520,"Cotonou, BJ, BJCOO",,D5
"OCEAN NETWORK EXPRESS, ONE, ONEY",/resource/,EC4,CH24521,"Muara, BN, BNMUA",,D7
"ORIENT OVERSEAS CONTAINER LINE, OOL, OOLU",/resource/,PN2,CH24520,"Gaborone, BW, BWGBE",,L0G1
"PACIFIC INTERNATIONAL LINES, PIL, PCIU",/resource/,PN2,CH24520,"Vancouver, CA, CAVAN",,L0GP
"SAFMARINE CONTAINER LINE, SAF, SAFM",/resource/,PN2,CH24520,"Montreal, CA, CAMTR",,L2G1
"SM LINE CORPORATION, SML, SMLM",/resource/,FP2,CH24521,"Prince Rupert, CA, CAPRR",,L2GP
"TS LINES, TSL, 13DF",/resource/,PS8,CH24520,"Halifax, CA, CAHAL",,L5G1
"WAN HAI LINES, WHL, 22AA",/resource/,PN4,CH24520,"Matadi, CD, CDMAT",,L5GP
"YANG MING LINE, YML, YMLU",/resource/,PN1,CH24521,"Abidjan, CI, CIABJ",,20H0
"ZIM INTEGRATED SHIPPING SERVICES, ZIM, ZIMU",/resource/,FP2,CH24520,"Douala, CM, CMDLA",,20HR
