ports,container_type,incoterms,terms
"Abu Dhabi, AE, AEAUH",FCL,EXW,Cy/Cy
"Jebel Ali, AE, AEJEA",LCL,FCA,
"Khor al Fakkan, AE, AEKLF",Air,FAS,
"Port Rashid, AE, AEPRA",Rail,FOB,
"Luanda, AO, AOLAD",Road,CPT,
"Adelaide, AU, AUADL",,CFR,
"Alice Springs, AU, AUASP",,CIP,
"Botany Bay, AU, AUBTB",,CIF,
"Brisbane, AU, AUBNE",,,
"Cairns, AU, AUCNS",,,
"Melbourne, AU, AUMEL",,,
"Sydney, AU, AUSYD",,,
"Chittagong, BD, BDCGP",,,
"Antwerp, BE, BEANR",,,
"Bahrain, BH, BHBAH",,,
"Cotonou, BJ, BJCOO",,,
"Muara, BN, BNMUA",,,
"Gaborone, BW, BWGBE",,,
"Vancouver, CA, CAVAN",,,
"Montreal, CA, CAMTR",,,
"Prince Rupert, CA, CAPRR",,,
"Halifax, CA, CAHAL",,,
"Matadi, CD, CDMAT",,,
"Abidjan, CI, CIABJ",,,
"Douala, CM, CMDLA",,,
"Kribi, CM, CMKBI",,,
"Chiwan, CN, CNCWN",,,
"Dalian, CN, CNDLC",,,
"Foshan, CN, CNFOS",,,
"Hangzhou, CN, CNHGH",,,
"Huangpu, CN, CNHUA",,,
"Huangpu New Port, CN, CNHUN",,,
"Nanjing, CN, CNNKG",,,
"Nansha, CN, CNNSA",,,
"Ningbo, CN, CNNGB",,,
"Qingdao, CN, CNTAO",,,
"Shanghai, CN, CNSHA",,,
"Shekou, CN, CNSHK",,,
"Tianjin, CN, CNTSN",,,
"Tianjinxingang, CN, CNTXG",,,
"Xiamen, CN, CNXMN",,,
"Yantian, CN, CNYTN",,,
"Nansha New Pt, CN, CNNNP",,,
"Huangpu Old Port, CN, CNHOP",,,
"Da Chan Bay, CN, CNDCB",,,
"Foshan new port, CN, CNFRT",,,
"Port of Xingang, CN, CNXGG",,,
"Bremerhaven, DE, DEBRV",,,
"Hamburg, DE, DEHAM",,,
"Bremen, DE, DEBRE",,,
"Djibouti, DJ, DJJIB",,,
"Aalborg, DK, DKAAL",,,
"Esbjerg, DK, DKEBJ",,,
"Algiers, DZ, DZALG",,,
"Oran, DZ, DZORN",,,
"PORT SAID EAST, EG, EGPSE",,,
"EL Dekhila, EG, EGEDK",,,
"Alexandria, EG, EGALY",,,
"Sokhna, EG, EGSOK",,,
"Damietta, EG, EGDAM",,,
"El Dekheila, EG, EGEDK",,,
"Alexandria, EG, EGALY",,,
"Cairo, EG, EGCAI",,,
"Suez, EG, EGSUZ",,,
"Port Said, EG, EGPSD",,,
"Sokhna Port, EG, EGSOK",,,
"Algeciras, ES, ESALG",,,
"Barcelona, ES, ESBCN",,,
"Bilbao, ES, ESBIO",,,
"Valencia, ES, ESVLC",,,
"Addis Ababa, ET, ETADD",,,
"Fredrikshamn (Hamina), FI, FIHMN",,,
"Jacobstad (Pietarsaari), FI, FIPRS",,,
"Helsinki, FI, FIHEL",,,
"Karleby (Kokkola), FI, FIKOK",,,
"Rauma (Raumo), FI, FIRAU",,,
"Marseille, FR, FRMRS",,,
"Dunkerque, FR, FRDKK",,,
"Brest, FR, FRBES",,,
"Le Havre, FR, FRLEH",,,
"Fos-sur-Mer, FR, FRFOS",,,
"Lyon, FR, FRLIO",,,
"Libreville, GA, GALBV",,,
"Port Gentil, GA, GAPOG",,,
"Felixstowe, GB, GBFXT",,,
"Immingham, GB, GBIMM",,,
"Liverpool, GB, GBLIV",,,
"Southampton, GB, GBSOU",,,
"Accra, GH, GHACC",,,
"Banjul, GM, GMBJL",,,
"Conakry, GN, GNCKY",,,
"Piraeus, GR, GRPIR",,,
"Thessaloníki, GR, GRSKG",,,
"Hong Kong, HK, HKHKG",,,
"Bandung, ID, IDBDO",,,
"Cirebon (Tjeribon), ID, IDCBN",,,
"Jakarta, ID, IDJKT",,,
"Merak, ID, IDMRK",,,
"Tanjung Priok, ID, IDTPP",,,
"Dublin, IE, IEDUB",,,
"Haifa, IL, ILHFA",,,
"Ashdod, IL, ILASH",,,
"Chennai (ex Madras), IN, INMAA",,,
"Cochin, IN, INCOK",,,
"Kolkata (ex Calcutta), IN, INCCU",,,
"Mumbai (ex Bombay), IN, INBOM",,,
"Mundra, IN, INMUN",,,
"Nhava Sheva, IN, INNHV",,,
"Pipavav (Victor) Port, IN, INPAV",,,
"Thiruvananthapuram (ex Trivandrum, IN, INTRV",,,
"Visakhapatnam, IN, INVTZ",,,
"Umm Qasr, IQ, IQUQR",,,
"Bandar Abbas, IR, IRBND",,,
"Bushehr, IR, IRBUZ",,,
"Bari, IT, ITBRI",,,
"Cagliari, IT, ITCAG",,,
"Genoa, IT, ITGOA",,,
"Gioia Tauro, IT, ITGIT",,,
"La Spezia, IT, ITSPE",,,
"Ravenna, IT, ITRAN",,,
"Venezia, IT, ITVCE",,,
"Civitavecchia, IT, ITCVV",,,
"Amman, JO, JOAMM",,,
"Aqaba, JO, JOAQB",,,
"Tokyo, JP, JPTYO",,,
"Nagoya, JP, JPNGO",,,
"Nagoya, JP, JPNGY",,,
"Kobe, JP, JPUKB",,,
"Osaka, JP, JPOSA",,,
"Kitakyushu, JP, JPKKJ",,,
"Moji, JP, JPMOJ",,,
"Tanoura, JP, JPTNU",,,
"Tobata, JP, JPTBT",,,
"Wakamatsu, JP, JPWAM",,,
"Yawata, JP, JPYWT",,,
"Chiba, JP, JPCHB",,,
"Hakata, JP, JPHTD",,,
"Ishinomaki, JP, JPISM",,,
"Kawasaki, JP, JPKWS",,,
"Naha, JP, JPNAH",,,
"Sendai, JP, JPSEN",,,
"Sendai, JP, JPSDJ",,,
"Shimizu, JP, JPSMZ",,,
"Yokkaichi, JP, JPYKK",,,
"Mombasa, KE, KEMBA",,,
"Nairobi, KE, KENBO",,,
"Kâmpóng Saôm, KH, KHKOS",,,
"Phnom Penh, KH, KHPNH",,,
"Busan, KR, KRPUS",,,
"Incheon, KR, KRICH",,,
"Kwangyang, KR, KRKWA",,,
"Kuwait, KW, KWKWI",,,
"Shuaiba, KW, KWSAA",,,
"Shuwaikh, KW, KWSWK",,,
"Luang Prabang, LA, LALPQ",,,
"Beirut, LB, LBBEY",,,
"Colombo, LK, LKCMB",,,
"Monrovia, LR, LRMLW",,,
"Al Khums, LY, LYKHO",,,
"Tripoli, LY, LYTIP",,,
"Casablanca, MA, MACAS",,,
"Antananarivo, MG, MGTNR",,,
"Bamako, ML, MLBKO",,,
"Yangon, MM, MMRGN",,,
